"car.name","cylinders","displacement","horsepower","weight","acceleration","model.year","origin","mpg"
"ford torino",8,302,140,3449,10.5,70,1,17
"dodge aspen se",6,225,100,3651,17.7,76,1,20
"audi	5000s (diesel)",5,121,67,2950,19.9,80,2,36.4
"chevrolet monza	2+2",8,262,110,3221,13.5,75,1,20
"mazda glc	4",4,91,68,1985,16,81,3,34.1
"amc matador",6,232,100,3288,15.5,71,1,18
"amc concord d/l",6,258,120,3410,15.1,78,1,18.1
"fiat	128",4,68,49,1867,19.5,73,2,29
"mercury monarch",6,250,72,3432,21,75,1,15
"plymouth fury iii",8,318,150,4096,13,71,1,14
"mercury zephyr",6,200,85,3070,16.7,78,1,20.8
"buick skylark",4,151,84,2635,16.4,81,1,26.6
"chrysler lebaron medallion",4,156,92,2585,14.5,82,1,26
"ford gran torino",8,302,140,4141,14,74,1,16
"mazda glc",4,86,65,2110,17.9,80,3,46.6
"chevrolet camaro",4,151,90,2950,17.3,82,1,27
"chevrolet nova",6,250,105,3353,14.5,76,1,22
