"car.name","cylinders","displacement","horsepower","weight","acceleration","model.year","origin","mpg"
"buick electra	225 custom",8,455,225,4951,11,73,1,12
"dodge aspen",6,225,110,3620,18.7,78,1,18.6
"volkswagen rabbit l",4,105,74,1980,15.3,82,2,36
"volkswagen rabbit custom diesel",4,90,48,1985,21.5,78,2,43.1
"ford maverick",6,250,88,3021,16.5,73,1,18
"plymouth valiant",6,225,100,3233,15.4,76,1,22
"pontiac safari (sw)",8,400,175,5140,12,71,1,13
"ford fairmont	4",4,140,88,2890,17.3,79,1,22.3
"datsun	200-sx",4,119,97,2405,14.9,78,3,23.9
"vw rabbit",4,98,76,2144,14.7,80,2,41.5
"dodge diplomat",8,318,140,3735,13.2,78,1,19.4
"chrysler cordoba",8,400,190,4325,12.2,77,1,15.5
"chevrolet nova",6,250,105,3459,16,75,1,18
"chevrolet chevelle concours (sw)",8,307,130,4098,14,72,1,13
"datsun b210 gx",4,85,70,2070,18.6,78,3,39.4
"ford fiesta",4,98,66,1800,14.4,78,1,36.1
"plymouth fury gran sedan",8,318,150,4237,14.5,73,1,14
"plymouth duster",6,198,95,2904,16,73,1,23
"ford mustang gl",4,140,86,2790,15.6,82,1,27
"plymouth volare premier v8",8,318,150,3940,13.2,76,1,13
"volvo	245",4,130,102,3150,15.7,76,2,20
"oldsmobile starfire sx",4,151,85,2855,17.6,78,1,23.8
"plymouth champ",4,86,64,1875,16.4,81,1,39
"dodge omni",4,105,75,2230,14.5,78,1,30.9
"toyota corolla",4,97,75,2171,16,75,3,29
"toyota corona hardtop",4,113,95,2278,15.5,72,3,24
"honda accord",4,107,75,2205,14.5,82,3,36
"chevrolet chevette",4,98,68,2155,16.5,78,1,30
"volkswagen jetta",4,105,74,2190,14.2,81,2,33
"buick skylark",6,231,105,3425,16.9,77,1,20.5
"volkswagen	1131 deluxe sedan",4,97,46,1835,20.5,70,2,26
"plymouth satellite custom (sw)",8,318,150,4077,14,72,1,14
"pontiac phoenix lj",6,231,105,3535,19.2,78,1,19.2
"ford mustang ii	2+2",4,140,89,2755,15.8,77,1,25.5
"mercury zephyr	6",6,200,85,2990,18.2,79,1,19.8
"chevrolet impala",8,350,165,4274,12,72,1,13
"chevrolet vega	2300",4,140,90,2264,15.5,71,1,28
"peugeot	504 (sw)",4,120,87,2979,19.5,72,2,21
"vw dasher (diesel)",4,90,48,2335,23.7,80,2,43.4
"ford escort	2h",4,98,65,2380,20.7,81,1,29.9
"oldsmobile omega brougham",6,173,115,2700,12.9,79,1,26.8
"peugeot	505s turbo diesel",4,141,80,3230,20.4,81,2,28.1
"toyota celica gt liftback",4,134,95,2515,14.8,78,3,21.1
"datsun	610",4,108,94,2379,16.5,73,3,22
"fiat strada custom",4,91,69,2130,14.7,79,2,37.3
"ford pinto runabout",4,122,86,2226,16.5,72,1,21
"ford pinto",4,122,80,2451,16.5,74,1,26
"plymouth fury iii",8,440,215,4312,8.5,70,1,14
"plymouth horizon",4,105,70,2200,13.2,79,1,34.2
"audi	100ls",4,115,95,2694,15,75,2,23
"ford maverick",6,200,NA,2875,17,74,1,21
"audi	100ls",4,114,91,2582,14,73,2,20
"dodge colt",4,156,105,2800,14.4,80,1,27.9
"ford mustang ii",8,302,129,3169,12,75,1,13
"volkswagen super beetle",4,97,46,1950,21,73,2,26
"mazda rx2 coupe",3,70,97,2330,13.5,72,3,19
"honda civic",4,91,67,1965,15,82,3,38
"saab	99e",4,104,95,2375,17.5,70,2,25
"volkswagen model	111",4,97,60,1834,19,71,2,27
"saab	99le",4,121,110,2660,14,73,2,24
"plymouth reliant",4,135,84,2385,12.9,81,1,30
"dodge aspen	6",6,225,110,3360,16.6,79,1,20.6
"chevrolet concours",6,250,110,3520,16.4,77,1,17.5
"honda civic	1500 gl",4,91,67,1850,13.8,80,3,44.6
"amc spirit dl",4,121,80,2670,15,79,1,27.4
"buick century	350",8,350,175,4100,13,73,1,13
"mazda	626",4,120,74,2635,18.3,81,3,31.6
"datsun	510",4,119,97,2300,14.7,78,3,27.2
"dodge colt",4,98,79,2255,17.7,76,1,26
"plymouth 'cuda	340",8,340,160,3609,8,70,1,14
"mercury grand marquis",8,351,138,3955,13.2,79,1,16.5
"dodge monaco brougham",8,318,145,4140,13.7,77,1,15.5
"buick lesabre custom",8,350,155,4502,13.5,72,1,13
"toyota corolla",4,108,70,2245,16.9,82,3,34
"ford fairmont futura",4,140,92,2865,16.4,82,1,24
"fiat x1.9",4,79,67,2000,16,74,2,31
"ford ltd",8,351,158,4363,13,73,1,13
"maxda glc deluxe",4,86,65,1975,15.2,79,3,34.1
"vw rabbit c (diesel)",4,90,48,2085,21.7,80,2,44.3
"peugeot	504",4,120,88,2957,17,75,2,23
"volkswagen dasher",4,79,67,1963,15.5,74,2,26
"volkswagen dasher",4,90,71,2223,16.5,75,2,25
"ford ranger",4,120,79,2625,18.6,82,1,28
"pontiac grand prix",8,400,230,4278,9.5,73,1,16
"ford pinto (sw)",4,122,86,2395,16,72,1,22
"mercedes-benz	280s",6,168,120,3820,16.7,76,2,16.5
"amc matador",8,304,150,3672,11.5,73,1,14
"plymouth volare",6,225,100,3430,17.2,78,1,20.5
"subaru",4,108,93,2391,15.5,74,3,26
"buick century luxus (sw)",8,350,150,4699,14.5,74,1,13
"amc hornet sportabout (sw)",6,258,110,2962,13.5,71,1,18
